,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SYMBOL1
1510,SILINV.NS,SIL Investments Limited,EQ,22-May-96,10.0,1,INE923A01015,10,SILINV
1511,SILLYMONKS.NS,Silly Monks Entertainment Limited,EQ,8-Jul-20,10.0,1,INE203Y01012,10,SILLYMONKS
1512,SILVERTUC.NS,Silver Touch Technologies Limited,EQ,12-May-22,10.0,1,INE625X01018,10,SILVERTUC
1513,SIMBHALS.NS,Simbhaoli Sugars Limited,EQ,14-Mar-16,10.0,1,INE748T01016,10,SIMBHALS
1514,SIMPLEXINF.NS,Simplex Infrastructures Limited,EQ,9-Mar-04,2.0,1,INE059B01024,2,SIMPLEXINF
1515,SINTERCOM.NS,Sintercom India Limited,EQ,7-Oct-20,10.0,1,INE129Z01016,10,SINTERCOM
1516,SIRCA.NS,Sirca Paints India Limited,EQ,22-Jul-19,10.0,1,INE792Z01011,10,SIRCA
1517,SIS.NS,SIS LIMITED,EQ,10-Aug-17,5.0,1,INE285J01028,5,SIS
1518,SITINET.NS,Siti Networks Limited,EQ,10-Jan-07,1.0,1,INE965H01011,1,SITINET
1519,SIYSIL.NS,Siyaram Silk Mills Limited,EQ,29-Jan-07,2.0,1,INE076B01028,2,SIYSIL
1520,SJS.NS,S.J.S. Enterprises Limited,EQ,15-Nov-21,10.0,1,INE284S01014,10,SJS
1521,SJVN.NS,SJVN Limited,EQ,20-May-10,10.0,1,INE002L01015,10,SJVN
1522,SKFINDIA.NS,SKF India Limited,EQ,27-Jan-99,10.0,1,INE640A01023,10,SKFINDIA
1523,SKIPPER.NS,Skipper Limited,EQ,27-May-15,1.0,1,INE439E01022,1,SKIPPER
1524,SKMEGGPROD.NS,SKM Egg Products Export (India) Limited,EQ,14-Mar-97,10.0,1,INE411D01015,10,SKMEGGPROD
1525,SKYGOLD.NS,Sky Gold Limited,EQ,6-Jan-23,10.0,1,INE01IU01018,10,SKYGOLD
1526,SMARTLINK.NS,Smartlink Holdings Limited,EQ,11-Apr-01,2.0,1,INE178C01020,2,SMARTLINK
1527,SMCGLOBAL.NS,SMC Global Securities Limited,EQ,24-Feb-21,2.0,1,INE103C01036,2,SMCGLOBAL
1528,SMLISUZU.NS,SML Isuzu Limited,EQ,29-Aug-03,10.0,1,INE294B01019,10,SMLISUZU
1529,SMLT.NS,Sarthak Metals Limited,EQ,25-Nov-21,10.0,1,INE017W01010,10,SMLT
1530,SMSLIFE.NS,SMS Lifesciences India Limited,EQ,17-Aug-17,10.0,1,INE320X01016,10,SMSLIFE
1531,SMSPHARMA.NS,SMS Pharmaceuticals Limited,EQ,28-Feb-07,1.0,1,INE812G01025,1,SMSPHARMA
1532,SNOWMAN.NS,Snowman Logistics Limited,EQ,12-Sep-14,10.0,1,INE734N01019,10,SNOWMAN
1533,SOBHA.NS,Sobha Limited,EQ,20-Dec-06,10.0,1,INE671H01015,10,SOBHA
1534,SOFTTECH.NS,Softtech Engineers Limited,EQ,25-Feb-22,10.0,1,INE728Z01015,10,SOFTTECH
1535,SOLARA.NS,Solara Active Pharma Sciences Limited,EQ,27-Jun-18,10.0,1,INE624Z01016,10,SOLARA
1536,SOLARINDS.NS,Solar Industries India Limited,EQ,3-Apr-06,2.0,1,INE343H01029,2,SOLARINDS
1537,SOMANYCERA.NS,Somany Ceramics Limited,EQ,22-Nov-95,2.0,1,INE355A01028,2,SOMANYCERA
1538,SOMATEX.NS,Soma Textiles & Industries Limited,BE,14-Aug-96,10.0,1,INE314C01013,10,SOMATEX
