Ticker,Name,Exchange,Category
RELCAPITAL.BO,Reliance Capital Limited,BSE,
RAIN.BO,Rain Industries Limited,BSE,
PRATIBHA.BO,Pratibha Industries Ltd.,BSE,
PRAJIND.NS,Praj Industries Limited,NSI,General Contractors
POLTC.BO,Polygenta Technologies Limited,BSE,
OLYOI.BO,Olympic Oil Industries Ltd.,BSE,
NICCO.NS,Nicco Corporation Limited,NSI,Diversified Machinery
MPILCORPL.BO,MPIL Corporation Limited,BSE,
MARUTI.NS,Maruti Suzuki India Limited,NSI,Auto Manufacturers - Major
LUPIN.NS,Lupin Limited,NSI,Drugs - Generic
INFY.BO,Infosys Limited,BSE,
INDRAMEDCO.BO,Indraprastha Medical Corp. Ltd.,BSE,
CAIRN.NS,Cairn India Limited,NSI,Major Integrated Oil & Gas
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,
ZENOTECH.BO,Zenotech Laboratories Limited,BSE,
ZENITHBIR.NS,Zenith Birla (India) Limited,NSI,Metal Fabrication
YESBANK.NS,Yes Bank Limited,NSI,Money Center Banks
YASHPPR.BO,Yash Papers Limited,BSE,
XPROINDIA.NS,Xpro India Limited,NSI,Specialty Chemicals
WIPRO.BO,Wipro Ltd.,BSE,
WELSPSY.BO,AYM Syntex Limited,BSE,
VOLTAS.NS,Voltas Limited,NSI,General Contractors
VISHMEL.BO,Vishal Malleables Ltd.,BSE,
VISAKAIND.NS,Visaka Industries Limited,NSI,General Building Materials
VARDHCH.BO,Vardhaman Laboratories Ltd.,BSE,
VANTAGE.BO,Vantage Corporate Services Ltd.,BSE,
UTLTD.BO,UT Ltd.,BSE,
USHERAGRO.NS,Usher Agro Limited,NSI,Farm Products
UNISTRMU.BO,Unistar Multimedia Limited,BSE,
UFO.NS,UFO Moviez India Limited,NSI,Entertainment - Diversified
UFLEX.NS,Uflex Limited,NSI,Packaging & Containers
TV18BRDCST.NS,TV18 Broadcast Limited,NSI,Broadcasting - TV
TRITONV.BO,Triton Valves Ltd,BSE,
