TICKER,NAME,SERIES,SYMBOL,SLUG
BRNL.NS,Bharat Road Network Limited,EQ,BRNL,brnl
BROOKS.NS,Brooks Laboratories Limited,EQ,BROOKS,brooks
BSE.NS,BSE Limited,EQ,BSE,bse
BSHSL.NS,Bombay Super Hybrid Seeds Limited,BE,BSHSL,bshsl
BSL.NS,BSL Limited,EQ,BSL,bsl
BSOFT.NS,BIRLASOFT LIMITED,EQ,BSOFT,bsoft
BTML.NS,Bodhi Tree Multimedia Limited,EQ,BTML,btml
BURNPUR.NS,Burnpur Cement Limited,EQ,BURNPUR,burnpur
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ,BUTTERFLY,butterfly
BVCL.NS,Barak Valley Cements Limited,EQ,BVCL,bvcl
BYKE.NS,The Byke Hospitality Ltd,EQ,BYKE,byke
CALSOFT.NS,California Software Company Limited,EQ,CALSOFT,calsoft
CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ,CAMLINFINE,camlinfine
CAMPUS.NS,Campus Activewear Limited,EQ,CAMPUS,campus
CAMS.NS,Computer Age Management Services Limited,EQ,CAMS,cams
CANBK.NS,Canara Bank,EQ,CANBK,canbk
CANFINHOME.NS,Can Fin Homes Limited,EQ,CANFINHOME,canfinhome
CANTABIL.NS,Cantabil Retail India Limited,EQ,CANTABIL,cantabil
CAPACITE.NS,Capacit'e Infraprojects Limited,EQ,CAPACITE,capacite
CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ,CAPLIPOINT,caplipoint
CAPTRUST.NS,Capital Trust Limited,EQ,CAPTRUST,captrust
CARBORUNIV.NS,Carborundum Universal Limited,EQ,CARBORUNIV,carboruniv
CAREERP.NS,Career Point Limited,EQ,CAREERP,careerp
CARERATING.NS,CARE Ratings Limited,EQ,CARERATING,carerating
CARTRADE.NS,Cartrade Tech Limited,EQ,CARTRADE,cartrade
CARYSIL.NS,CARYSIL LIMITED,EQ,CARYSIL,carysil
CASTROLIND.NS,Castrol India Limited,EQ,CASTROLIND,castrolind
CCCL.NS,Consolidated Construction Consortium Limited,BE,CCCL,cccl
CCHHL.NS,Country Club Hospitality & Holidays Limited,BE,CCHHL,cchhl
CCL.NS,CCL Products (India) Limited,EQ,CCL,ccl
CDSL.NS,Central Depository Services (India) Limited,EQ,CDSL,cdsl
CEATLTD.NS,CEAT Limited,EQ,CEATLTD,ceatltd
CELEBRITY.NS,Celebrity Fashions Limited,EQ,CELEBRITY,celebrity
CENTENKA.NS,Century Enka Limited,EQ,CENTENKA,centenka
CENTEXT.NS,Century Extrusions Limited,EQ,CENTEXT,centext
CENTRALBK.NS,Central Bank of India,EQ,CENTRALBK,centralbk
CENTRUM.NS,Centrum Capital Limited,EQ,CENTRUM,centrum
CENTUM.NS,Centum Electronics Limited,EQ,CENTUM,centum
CENTURYPLY.NS,Century Plyboards (India) Limited,EQ,CENTURYPLY,centuryply
CENTURYTEX.NS,Century Textiles & Industries Limited,EQ,CENTURYTEX,centurytex
CERA.NS,Cera Sanitaryware Limited,EQ,CERA,cera
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,EQ,CEREBRAINT,cerebraint
CESC.NS,CESC Limited,EQ,CESC,cesc
CGCL.NS,Capri Global Capital Limited,EQ,CGCL,cgcl
CGPOWER.NS,CG Power and Industrial Solutions Limited,EQ,CGPOWER,cgpower
CHALET.NS,Chalet Hotels Limited,EQ,CHALET,chalet
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,EQ,CHAMBLFERT,chamblfert
CHEMBOND.NS,Chembond Chemicals Ltd,EQ,CHEMBOND,chembond
CHEMCON.NS,Chemcon Speciality Chemicals Limited,EQ,CHEMCON,chemcon
CHEMFAB.NS,Chemfab Alkalis Limited,EQ,CHEMFAB,chemfab
CHEMPLASTS.NS,Chemplast Sanmar Limited,EQ,CHEMPLASTS,chemplasts
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,EQ,CHENNPETRO,chennpetro
CHEVIOT.NS,Cheviot Company Limited,EQ,CHEVIOT,cheviot
CHOICEIN.NS,Choice International Limited,EQ,CHOICEIN,choicein
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,EQ,CHOLAFIN,cholafin
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,EQ,CHOLAHLDNG,cholahldng
CIGNITITEC.NS,Cigniti Technologies Limited,EQ,CIGNITITEC,cignititec
CINELINE.NS,Cineline India Limited,EQ,CINELINE,cineline
